last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate
Greinke, Zack,425844,2018,0.245,0.406,0.303,0.29,0.161,87.9,10.4,6.4
Hamels, Cole,430935,2018,0.255,0.423,0.332,0.333,0.167,88.6,10.9,7.5
Verlander, Justin,434378,2018,0.184,0.309,0.237,0.229,0.124,88.5,22.1,6.2
Kluber, Corey,446372,2018,0.227,0.369,0.277,0.263,0.142,87.9,11.3,6.3
Shields, James,448306,2018,0.262,0.466,0.35,0.336,0.204,88.6,16.6,8.3
Morton, Charlie,450203,2018,0.205,0.326,0.284,0.299,0.121,87.5,7.7,5.8
Lester, Jon,452657,2018,0.268,0.449,0.343,0.337,0.181,88.7,13.7,6.6
LeBlanc, Wade,453281,2018,0.251,0.434,0.318,0.3,0.183,87.4,16.1,9
Scherzer, Max,453286,2018,0.185,0.316,0.248,0.245,0.131,86.6,20.7,6.6
Arrieta, Jake,453562,2018,0.249,0.392,0.312,0.315,0.143,87.8,8.6,5.6
Price, David,456034,2018,0.24,0.409,0.313,0.303,0.17,88.7,14.7,7
Happ, J.A.,457918,2018,0.227,0.4,0.302,0.29,0.174,88.4,15.4,8.8
Gonzalez, Gio,461829,2018,0.255,0.412,0.329,0.337,0.157,87.7,11.2,5.8
Chacin, Jhoulys,468504,2018,0.246,0.402,0.32,0.325,0.156,88.8,13.2,6.5
Carrasco, Carlos,471911,2018,0.228,0.371,0.283,0.278,0.143,89.7,9.8,6
Quintana, Jose,500779,2018,0.247,0.415,0.321,0.32,0.168,89.4,12.4,6.1
Gibson, Kyle,502043,2018,0.251,0.392,0.319,0.327,0.141,87.8,7.9,5.7
Leake, Mike,502190,2018,0.298,0.471,0.348,0.333,0.173,89.7,8.5,6.7
Holland, Derek,502706,2018,0.239,0.401,0.312,0.314,0.163,88.4,14.7,6.6
Porcello, Rick,519144,2018,0.243,0.403,0.311,0.304,0.16,89,12.4,7
Teheran, Julio,527054,2018,0.231,0.407,0.324,0.33,0.176,88.7,15.5,7.2
Anderson, Tyler,542881,2018,0.229,0.375,0.296,0.295,0.146,87.6,16,5.7
Cole, Gerrit,543037,2018,0.198,0.336,0.271,0.27,0.139,89.1,15.8,6.2
Hendricks, Kyle,543294,2018,0.243,0.389,0.3,0.294,0.145,86.4,10.3,5.7
Odorizzi, Jake,543606,2018,0.245,0.425,0.332,0.332,0.181,89.1,21.4,7.4
Roark, Tanner,543699,2018,0.255,0.418,0.318,0.313,0.163,87.8,14.5,6
Bauer, Trevor,545333,2018,0.197,0.307,0.26,0.271,0.11,87.8,12,4.4
Wheeler, Zack,554430,2018,0.219,0.334,0.278,0.287,0.115,86.1,11.3,4.8
Urena, Jose,570632,2018,0.249,0.394,0.311,0.317,0.144,88.5,9.3,6.2
Boyd, Matthew,571510,2018,0.209,0.37,0.287,0.28,0.161,87.4,22.3,6.1
Corbin, Patrick,571578,2018,0.233,0.362,0.283,0.284,0.129,88.4,7.8,5.8
Fiers, Mike,571666,2018,0.255,0.48,0.337,0.302,0.226,89.8,16.8,10.4
Heaney, Andrew,571760,2018,0.244,0.408,0.311,0.299,0.164,87.7,12.4,7.8
Mikolas, Miles,571945,2018,0.245,0.379,0.286,0.279,0.134,86.7,8.2,5.1
Keuchel, Dallas,572971,2018,0.247,0.362,0.293,0.298,0.116,87.3,4.5,4.5
Foltynewicz, Mike,592314,2018,0.202,0.33,0.274,0.283,0.128,88.6,13.9,6.9
Gausman, Kevin,592332,2018,0.269,0.446,0.333,0.322,0.177,89,10.8,7.4
Gray, Jon,592351,2018,0.246,0.392,0.307,0.306,0.146,89.8,9.7,5.8
Taillon, Jameson,592791,2018,0.238,0.373,0.29,0.289,0.135,87.8,10.4,4.3
Williams, Trevor,592866,2018,0.248,0.395,0.309,0.312,0.147,86.9,14.1,5.8
deGrom, Jacob,594798,2018,0.2,0.289,0.243,0.251,0.089,86.3,11.2,4.1
Gonzales, Marco,594835,2018,0.262,0.406,0.311,0.303,0.144,88.5,10.4,5.4
Junis, Jakob,596001,2018,0.248,0.432,0.324,0.307,0.185,88.7,13.8,8.6
Pivetta, Nick,601713,2018,0.218,0.372,0.29,0.283,0.154,88.8,10.9,7.8
Bundy, Dylan,605164,2018,0.245,0.44,0.324,0.305,0.196,89.3,17.4,8.5
Clevinger, Mike,605182,2018,0.214,0.354,0.283,0.284,0.14,87,14.3,5.6
Nola, Aaron,605400,2018,0.202,0.315,0.258,0.265,0.113,87.1,9.1,4.6
Snell, Blake,605483,2018,0.202,0.342,0.275,0.277,0.139,87.5,10.7,7.2
Freeland, Kyle,607536,2018,0.239,0.374,0.3,0.306,0.135,86.8,12,5
Giolito, Lucas,608337,2018,0.256,0.433,0.348,0.357,0.177,88.7,13.3,7
Marquez, German,608566,2018,0.224,0.355,0.282,0.286,0.131,89.5,9.2,5.6
Berrios, Jose,621244,2018,0.224,0.366,0.295,0.298,0.142,87.3,14.3,6
Castillo, Luis,622491,2018,0.245,0.426,0.318,0.303,0.181,88.8,9.6,8.8
Severino, Luis,622663,2018,0.24,0.394,0.299,0.289,0.154,88.4,11.7,7.7
Lopez, Reynaldo,625643,2018,0.253,0.433,0.335,0.332,0.18,88.3,19.6,7.3
Godley, Zack,643327,2018,0.255,0.403,0.334,0.345,0.148,89.7,7.5,6.4
Newcomb, Sean,656794,2018,0.221,0.348,0.297,0.313,0.128,87.6,13,4.2
