"hitter","launch_angle","exit_velo","BIP","single","double","triple","home_run","batting_average_for_BIP","home_run_for_BIP","slug_for_BIP"
"Robert, Luis",17,106.151648867134,245,64,23,1,14,0.416326530612245,0.0571428571428571,0.689795918367347
"Mejía, Francisco",18,101.11821794797,214,43,16,3,6,0.317757009345794,0.0280373831775701,0.504672897196262
"Springer, George",18,104.650284479032,225,39,19,1,20,0.351111111111111,0.0888888888888889,0.711111111111111
"Upton, Justin",18,103.880466262146,222,42,15,0,18,0.337837837837838,0.0810810810810811,0.648648648648649
"Lowrie, Jed",18,103.600516113184,350,69,29,0,16,0.325714285714286,0.0457142857142857,0.545714285714286
"Moore, Dylan",18,104.109983016218,226,36,12,2,9,0.261061946902655,0.0398230088495575,0.451327433628319
"Torres, Gleyber",18,106.056912537474,381,87,23,0,12,0.320209973753281,0.031496062992126,0.4750656167979
"Canha, Mark",18,103.162544269682,387,77,20,4,14,0.297157622739018,0.0361757105943152,0.478036175710594
"Chisholm Jr., Jazz",18,106.891606244072,338,78,20,4,20,0.36094674556213,0.0591715976331361,0.621301775147929
"Castellanos, Nick",18,107.596134252259,408,87,38,2,33,0.392156862745098,0.0808823529411765,0.737745098039216
"Semien, Marcus",18,105.914711016526,506,86,36,2,46,0.33596837944664,0.0909090909090909,0.687747035573123
"Chapman, Matt",18,107.265723491056,332,59,14,3,28,0.313253012048193,0.0843373493975904,0.626506024096386
"Hedges, Austin",18,101.064853436337,208,34,7,0,9,0.240384615384615,0.0432692307692308,0.403846153846154
"Kelenic, Jarred",18,104.619018201498,228,33,13,1,14,0.267543859649123,0.0614035087719298,0.517543859649123
"Varsho, Daulton",18,102.865983151679,219,38,15,2,11,0.301369863013699,0.0502283105022831,0.538812785388128
"Reyes, Franmil",18,107.629770057791,277,61,15,3,31,0.397111913357401,0.111913357400722,0.808664259927798
"Mayfield, Jack",18,100.617477167475,208,36,16,0,10,0.298076923076923,0.0480769230769231,0.519230769230769
"Yastrzemski, Mike",18,104.575694371189,352,51,29,3,27,0.3125,0.0767045454545455,0.642045454545455
"Miller, Brad",18,105.592487729757,209,38,9,3,20,0.334928229665072,0.0956937799043062,0.69377990430622
"Taylor, Michael A.",19,106.659417986324,351,92,16,2,11,0.344729344729345,0.0313390313390313,0.495726495726496
"DeJong, Paul",19,103.622586700219,259,45,8,1,19,0.281853281853282,0.0733590733590734,0.540540540540541
"Meadows, Austin",19,106.107648762889,408,62,27,3,27,0.291666666666667,0.0661764705882353,0.571078431372549
"Barnhart, Tucker",19,99.7560661633577,254,53,21,0,6,0.31496062992126,0.0236220472440945,0.468503937007874
"Aguilar, Jesús",19,106.812326422983,367,74,23,0,21,0.321525885558583,0.0572207084468665,0.555858310626703
"Myers, Wil",19,105.357696252066,312,75,25,2,19,0.387820512820513,0.0608974358974359,0.663461538461538
"Urías, Luis",19,103.390668721345,384,73,29,1,22,0.325520833333333,0.0572916666666667,0.578125
"Polanco, Gregory",19,106.369213682932,237,43,11,3,11,0.286919831223629,0.0464135021097046,0.49789029535865
"Albies, Ozzie",19,104.807713219362,512,89,40,7,30,0.32421875,0.05859375,0.60546875
"Conforto, Michael",19,105.033078140979,312,63,20,0,14,0.310897435897436,0.0448717948717949,0.509615384615385
"Farmer, Kyle",19,103.52527325865,393,86,25,2,16,0.32824427480916,0.0407124681933842,0.524173027989822
"Robles, Victor",19,102.215082331066,244,41,22,1,4,0.278688524590164,0.0163934426229508,0.426229508196721
"Seager, Corey",19,106.907290435364,319,71,24,2,21,0.369905956112853,0.0658307210031348,0.655172413793103
"Dickerson, Alex",19,104.560918628021,221,42,15,2,14,0.330316742081448,0.0633484162895928,0.606334841628959
"Cabrera, Asdrúbal",20,101.247123041242,249,46,24,0,10,0.321285140562249,0.0401606425702811,0.538152610441767
"Harper, Bryce",20,109.694927416876,368,72,43,1,38,0.418478260869565,0.103260869565217,0.85054347826087
"Donaldson, Josh",20,109.561800942946,339,62,23,0,25,0.324483775811209,0.0737463126843658,0.613569321533923
"Sanó, Miguel",20,111.274321791619,293,51,26,0,30,0.36518771331058,0.102389078498294,0.761092150170648
"Carlson, Dylan",20,103.654775405065,402,92,29,5,20,0.36318407960199,0.0497512437810945,0.609452736318408
"Dalbec, Bobby",20,108.558738753825,271,52,21,5,26,0.383763837638376,0.0959409594095941,0.785977859778598
"Martinez, J.D.",20,107.634013721404,440,90,46,3,28,0.379545454545455,0.0636363636363636,0.688636363636364
"Seager, Kyle",20,105.989260804116,442,68,30,1,34,0.300904977375566,0.0769230769230769,0.604072398190045
"Odor, Rougned",20,105.149482741963,231,40,12,0,15,0.29004329004329,0.0649350649350649,0.536796536796537
"Molina, Yadier",20,102.410556002911,383,87,19,0,10,0.302872062663185,0.0261096605744125,0.430809399477807
"Reynolds, Bryan",20,109.256364963701,446,104,30,8,27,0.378923766816143,0.0605381165919283,0.663677130044843
"McCutchen, Andrew",20,104.641668051295,363,59,26,1,25,0.305785123966942,0.068870523415978,0.589531680440771
"Muncy, Max",20,107.422131351409,385,60,27,2,36,0.324675324675325,0.0935064935064935,0.685714285714286
"Betts, Mookie",20,104.040812579571,400,77,28,3,25,0.3325,0.0625,0.605
"Schwarber, Kyle",20,109.142794062627,293,55,23,0,33,0.378839590443686,0.112627986348123,0.795221843003413
"Flores, Wilmer",20,103.719139090724,341,66,17,1,17,0.296187683284457,0.0498533724340176,0.501466275659824
"Wade Jr., LaMonte",20,104.147167591048,271,50,17,3,19,0.328413284132841,0.0701107011070111,0.623616236162362
"Swanson, Dansby",20,104.726547867337,440,86,36,2,27,0.343181818181818,0.0613636363636364,0.618181818181818
"Escobar, Eduardo",21,105.080733200786,430,79,29,5,27,0.325581395348837,0.0627906976744186,0.604651162790698
"Hoskins, Rhys",21,105.81563041301,280,37,28,0,28,0.332142857142857,0.1,0.732142857142857
"Grandal, Yasmani",21,105.288851189798,234,41,9,0,23,0.311965811965812,0.0982905982905983,0.645299145299145
"Narváez, Omar",21,101.782399585895,326,73,21,0,13,0.328220858895706,0.0398773006134969,0.512269938650307
"Hernandez, Yadiel",21,101.567265580719,211,55,10,1,9,0.355450236966825,0.042654028436019,0.540284360189573
"Fuentes, Joshua",21,100.540137935861,210,38,12,2,6,0.276190476190476,0.0285714285714286,0.438095238095238
"García, Adolis",21,107.041062172254,383,80,29,2,30,0.368146214099217,0.0783289817232376,0.689295039164491
"Taylor, Chris",21,106.654143848194,361,78,30,4,24,0.376731301939058,0.0664819944598338,0.681440443213296
"Tatis Jr., Fernando",21,110.72917271422,333,65,33,0,42,0.42042042042042,0.126126126126126,0.897897897897898
"Rosario, Eddie",21,103.009905500272,333,63,21,3,13,0.3003003003003,0.039039039039039,0.498498498498498
"Acuña Jr., Ronald",21,109.792311555397,220,39,18,1,26,0.381818181818182,0.118181818181818,0.827272727272727
"Maldonado, Martín",21,100.942561011047,252,42,11,0,11,0.253968253968254,0.0436507936507936,0.428571428571429
"Bauers, Jake",21,103.789282995719,206,48,8,0,5,0.296116504854369,0.0242718446601942,0.407766990291262
"Crawford, Brandon",21,105.232347964579,403,92,33,3,25,0.379652605459057,0.0620347394540943,0.662531017369727
"Ohtani, Shohei",21,110.493456015799,341,63,24,8,45,0.410557184750733,0.131964809384164,0.92375366568915
"Smith, Dominic",21,103.903108450044,333,72,18,1,14,0.315315315315315,0.042042042042042,0.501501501501502
"Goldschmidt, Paul",22,109.576153499394,478,109,35,2,33,0.374476987447699,0.0690376569037657,0.663179916317992
"Turner, Justin",22,105.23802416817,455,97,25,1,29,0.334065934065934,0.0637362637362637,0.584615384615385
"Kemp, Tony",22,96.4067846794783,299,66,18,4,8,0.321070234113712,0.0267558528428094,0.488294314381271
"Kelly, Carson",22,102.635303075467,244,45,12,1,13,0.290983606557377,0.0532786885245902,0.508196721311475
"Lowe, Brandon",22,108.080351397509,381,62,30,0,38,0.341207349081365,0.0997375328083989,0.719160104986877
"O'Neill, Tyler",22,107.581766402359,314,76,25,2,31,0.426751592356688,0.0987261146496815,0.815286624203822
