last_name, first_name,player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed,year
Calhoun, Kole,594777,140,TEX,RF,34,95,,4.66,25.3,2022
Naylor, Josh,647304,114,CLE,1B,25,187,,4.63,25.3,2022
Votto, Joey,458015,113,CIN,1B,38,102,,4.75,25.3,2022
Burleson, Alec,676475,138,STL,RF,23,17,,4.56,25.3,2022
Herrera, Jose,645444,109,AZ,C,25,52,,4.64,25.3,2022
Longoria, Evan,446334,137,SF,3B,36,75,,4.71,25.3,2022
Brantley, Michael,488726,117,HOU,DH,35,85,,4.72,25.2,2022
Flores, Wilmer,527038,137,SF,2B,30,169,,4.71,25.2,2022
Cron, C.J.,543068,115,COL,1B,32,176,,4.84,25.2,2022
Sanchez, Gary,596142,142,MIN,C,29,122,,4.72,25.1,2022
Trevino, Jose,624431,147,NYY,C,29,120,,4.69,25,2022
Piscotty, Stephen,572039,133,OAK,RF,31,35,,4.69,25,2022
Quiroz, Esteban,606019,112,CHC,2B,30,14,,,25,2022
Rivero, Sebastian,665861,118,KC,C,23,11,,,25,2022
Moustakas, Mike,519058,113,CIN,DH,33,64,,4.77,25,2022
Lowrie, Jed,476704,133,OAK,DH,38,46,,4.92,25,2022
Turner, Justin,457759,119,LAD,3B,37,158,,4.87,25,2022
Choi, Ji-Man,596847,139,TB,1B,31,111,,4.57,25,2022
Caratini, Victor,605170,158,MIL,C,28,95,,4.85,24.9,2022
Casas, Triston,671213,111,BOS,1B,22,27,,4.63,24.9,2022
Wynns, Austin,642851,137,SF,C,31,64,,4.87,24.9,2022
Gallagher, Cam,595956,118,KC,C,29,12,,,24.9,2022
La Stella, Tommy,600303,137,SF,DH,33,71,,4.67,24.9,2022
Camargo, Johan,622666,143,PHI,SS,28,50,,4.72,24.8,2022
Plawecki, Kevin,608700,140,TEX,C,31,61,,4.91,24.8,2022
Romine, Austin,519222,113,CIN,C,33,45,,4.85,24.8,2022
Perez, Roberto,547379,134,PIT,C,33,17,,,24.8,2022
Papierski, Michael,657709,113,CIN,C,26,33,,4.84,24.8,2022
Voit, Luke,572228,120,WSH,DH,31,118,,4.96,24.7,2022
France, Ty,664034,136,SEA,1B,27,220,,4.88,24.7,2022
Beer, Seth,666179,109,AZ,DH,25,41,,4.82,24.7,2022
Díaz, Lewin,650331,146,MIA,1B,25,39,,4.76,24.6,2022
Casali, Curt,592200,136,SEA,C,33,34,,4.99,24.6,2022
Hedges, Austin,595978,114,CLE,C,29,91,,4.94,24.5,2022
Stanton, Giancarlo,519317,147,NYY,DH,32,117,,5.04,24.5,2022
Astudillo, Willians,553902,146,MIA,2B,30,22,,4.76,24.4,2022
Perez, Michael,605421,121,NYM,C,29,28,,4.93,24.4,2022
Thaiss, Matt,642136,108,LAA,C,27,23,,4.88,24.4,2022
Belt, Brandon,474832,137,SF,1B,34,57,,4.8,24.3,2022
Canó, Robinson,429664,144,ATL,2B,39,37,,4.74,24.3,2022
Suzuki, Kurt,435559,108,LAA,C,38,39,,5.01,24.2,2022
Collins, Zack,641470,134,PIT,DH,27,20,,,24.2,2022
Ford, Mike,645801,108,LAA,1B,29,29,,4.79,24.2,2022
Wallach, Chad,595453,108,LAA,C,30,11,,,24.2,2022
Barrera, Tres,668663,120,WSH,C,27,19,,,24.1,2022
Kirk, Alejandro,672386,141,TOR,C,23,191,,4.89,24.1,2022
Mazeika, Patrick,664850,121,NYM,C,28,27,,4.71,24.1,2022
Narváez, Omar,553882,158,MIL,C,30,71,,4.99,24.1,2022
Lewis, Kyle,641786,136,SEA,DH,26,13,,4.97,24.1,2022
Moran, Colin,592567,113,CIN,1B,29,36,,4.88,24,2022
Vogelbach, Daniel,596129,121,NYM,DH,29,107,,4.9,23.9,2022
Tellez, Rowdy,642133,158,MIL,1B,27,147,,4.83,23.9,2022
Aguilar, Jesús,542583,110,BAL,1B,32,120,,5.01,23.9,2022
Barnhart, Tucker,571466,116,DET,C,31,101,,4.88,23.8,2022
Stallings, Jacob,607732,146,MIA,C,32,116,,5.04,23.7,2022
Chirinos, Robinson,455139,110,BAL,C,38,47,,5.11,23.7,2022
Leon, Sandy,506702,142,MIN,C,33,17,,,23.6,2022
Cabrera, Miguel,408234,116,DET,DH,39,149,,5.13,23.1,2022
Pujols, Albert,405395,138,STL,DH,42,94,,5.08,22.6,2022
Maldonado, Martín,455117,117,HOU,C,35,95,,5.07,22.4,2022
Grandal, Yasmani,518735,145,CWS,C,33,94,,5.26,22,2022
Molina, Yadier,425877,138,STL,C,39,80,,5.07,21.8,2022
