last_name, first_name,player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed,year
Buxton, Byron,621439,142,MIN,CF,22,87,72,4.01,30.8,2016
Mondesi, Adalberto,609275,118,KC,2B,20,41,33,4,30.3,2016
Hamilton, Billy,571740,113,CIN,CF,25,169,96,3.96,30.2,2016
Turner, Trea,607208,120,WSH,CF,23,108,55,4.06,30.2,2016
Quinn, Roman,596451,143,PHI,LF,23,24,13,,30.1,2016
Margot, Manuel,622534,135,SD,CF,21,23,9,4.11,30.1,2016
Brito, Sócrates,593647,109,AZ,CF,23,29,17,4.13,29.9,2016
Broxton, Keon,542979,158,MIL,CF,26,66,27,4.13,29.8,2016
DeShields, Delino,592261,140,TEX,CF,23,79,29,4.13,29.8,2016
Difo, Wilmer,594694,120,WSH,2B,24,27,8,,29.8,2016
Stubbs, Drew,453211,110,BAL,RF,31,18,7,4.06,29.7,2016
Orlando, Paulo,449181,118,KC,RF,30,202,67,4.22,29.7,2016
Strange-Gordon, Dee,543829,146,MIA,2B,28,163,67,3.92,29.7,2016
Gentry, Craig,502226,108,LAA,LF,32,20,6,4.19,29.6,2016
Story, Trevor,596115,115,COL,SS,23,97,31,4.17,29.6,2016
Hernández, César,514917,143,PHI,2B,26,252,105,4.08,29.6,2016
Bourjos, Peter,488721,143,PHI,RF,29,159,45,4.1,29.6,2016
Smith, Mallex,605480,144,ATL,CF,23,87,36,4.03,29.6,2016
Jankowski, Travis,608671,135,SD,CF,25,152,46,4.08,29.5,2016
Hernández, Teoscar,606192,117,HOU,LF,23,40,6,4.15,29.5,2016
Hazelbaker, Jeremy,571757,138,STL,LF,28,77,22,4.04,29.5,2016
Kiermaier, Kevin,595281,139,TB,CF,26,161,27,3.99,29.4,2016
O'Malley, Shawn,502523,136,SEA,SS,28,88,11,4.04,29.4,2016
Toles, Andrew,592808,119,LAD,LF,24,60,7,4.09,29.3,2016
Burns, Billy,542993,118,KC,CF,26,164,29,3.91,29.3,2016
Spangenberg, Cory,605486,135,SD,2B,25,28,8,4.07,29.3,2016
Ladendorf, Tyler,502285,133,OAK,2B,28,20,2,4.21,29.3,2016
Rivera, Yadiel,592680,158,MIL,2B,24,26,1,4.27,29.3,2016
Díaz, Aledmys,649557,138,STL,SS,25,198,19,4.15,29.2,2016
Marisnick, Jake,545350,117,HOU,CF,25,102,17,4.22,29.2,2016
Lake, Junior,516809,141,TOR,RF,26,20,1,4.19,29.2,2016
McCutchen, Andrew,457705,134,PIT,CF,29,168,9,4.31,29.1,2016
d'Arnaud, Chase,488818,144,ATL,SS,29,100,,4.06,29.1,2016
García, Avisaíl,541645,145,CWS,DH,25,173,14,4.33,29.1,2016
Reed, Michael,605439,158,MIL,CF,23,13,2,4.33,29.1,2016
Cain, Lorenzo,456715,118,KC,CF,30,171,25,4.23,29.1,2016
Taylor, Chris,621035,119,LAD,2B,25,28,,4.25,29.1,2016
Gosselin, Phil,594838,109,AZ,2B,27,98,4,4.24,29,2016
Rutledge, Josh,592710,111,BOS,3B,27,23,3,4.26,29,2016
Davis, Rajai,434658,114,CLE,CF,35,203,40,4.1,29,2016
Trout, Mike,545361,108,LAA,CF,24,220,15,4.24,29,2016
Hernández, Marco,593523,111,BOS,3B,23,36,10,4.02,29,2016
Robinson, Shane,453203,108,LAA,LF,31,49,2,4.22,29,2016
Owings, Chris,572008,109,AZ,SS,24,206,4,4.1,29,2016
Merrifield, Whit,593160,118,KC,2B,27,125,17,4.2,29,2016
Lawrie, Brett,543434,145,CWS,2B,26,128,9,4.2,29,2016
Holt, Tyler,534627,113,CIN,CF,27,83,4,4.2,29,2016
Marte, Starling,516782,134,PIT,LF,27,223,46,4.11,28.9,2016
Presley, Alex,502100,116,DET,RF,30,50,1,4.1,28.9,2016
Shuck, JB,543776,145,CWS,CF,29,111,,4.04,28.9,2016
Swanson, Dansby,621020,144,ATL,SS,22,51,6,4.11,28.9,2016
Yelich, Christian,592885,146,MIA,LF,24,265,44,4.22,28.9,2016
Peraza, José,606299,113,CIN,SS,22,101,8,4.18,28.9,2016
Báez, Javier,595879,112,CHC,2B,23,191,14,4.18,28.9,2016
Lagares, Juan,501571,121,NYM,CF,27,57,1,4.28,28.9,2016
Altherr, Aaron,571437,143,PHI,RF,25,77,1,4.38,28.9,2016
Gómez, Carlos,460576,140,TEX,CF,30,143,15,4.27,28.9,2016
Maybin, Cameron,457727,116,DET,CF,29,193,22,4.21,28.9,2016
Polanco, Jorge,593871,142,MIN,SS,22,81,10,4.11,28.9,2016
Souza Jr., Steven,519306,139,TB,RF,27,134,8,4.22,28.8,2016
Dyson, Jarrod,502481,118,KC,CF,31,155,44,4.09,28.8,2016
Pollock, AJ,572041,109,AZ,CF,28,14,,,28.8,2016
Realmuto, J.T.,592663,146,MIA,C,25,228,6,4.19,28.8,2016
Haniger, Mitch,571745,109,AZ,CF,25,36,,4.24,28.8,2016
Peterson, Jace,607054,144,ATL,2B,26,175,22,4.18,28.8,2016
Pirela, José,517369,135,SD,2B,26,17,1,4.26,28.8,2016
Taylor, Michael A.,572191,120,WSH,CF,25,76,3,4.18,28.8,2016
Anderson, Tim,641313,145,CWS,SS,23,182,26,4.21,28.7,2016
Gardner, Brett,458731,147,NYY,LF,32,264,25,4.04,28.7,2016
Pham, Tommy,502054,138,STL,CF,28,49,1,4.36,28.7,2016
Bonifácio, Emilio,466988,144,ATL,LF,31,15,7,4.02,28.7,2016
Nimmo, Brandon,607043,121,NYM,LF,23,26,4,4.16,28.7,2016
Goeddel, Tyler,595963,143,PHI,LF,23,93,2,4.3,28.6,2016
Renda, Tony,573113,113,CIN,2B,25,29,2,4.27,28.6,2016
Wendle, Joey,621563,133,OAK,2B,26,47,,4.09,28.6,2016
Hoying, Jared,592419,140,TEX,LF,27,18,1,,28.6,2016
Desmond, Ian,435622,140,TEX,CF,30,289,19,4.31,28.6,2016
Grichuk, Randal,545341,138,STL,CF,24,144,2,4.32,28.6,2016
