last_name, first_name,player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed,year
Buxton, Byron,621439,142,MIN,CF,24,34,20,3.98,30.5,2018
Sierra, Magneuris,642423,146,MIA,CF,22,59,42,3.91,30.3,2018
Andreoli, John,607430,110,BAL,LF,28,21,13,4.14,30.3,2018
Hampson, Garrett,641658,115,COL,SS,23,18,10,,30.2,2018
Quinn, Roman,596451,143,PHI,CF,25,53,29,3.88,30.2,2018
Engel, Adam,641553,145,CWS,CF,26,167,96,4.08,30.2,2018
Hamilton, Billy,571740,113,CIN,CF,27,190,93,3.94,30.1,2018
Turner, Trea,607208,120,WSH,SS,25,242,121,4.1,30.1,2018
Bader, Harrison,664056,138,STL,CF,24,133,66,4.07,30.1,2018
DeShields, Delino,592261,140,TEX,CF,25,139,73,4.02,30,2018
Brito, Sócrates,593647,109,ARI,RF,25,11,6,,29.9,2018
Mondesi, Adalberto,609275,118,KC,SS,22,90,42,4.07,29.9,2018
Galloway, Isaac,543194,146,MIA,CF,28,23,12,4.14,29.9,2018
Smith, Mallex,605480,139,TB,CF,25,237,85,4.03,29.9,2018
Broxton, Keon,542979,158,MIL,CF,28,30,12,4.17,29.8,2018
Story, Trevor,596115,115,COL,SS,25,197,66,4.16,29.7,2018
O'Neill, Tyler,641933,138,STL,LF,23,26,9,4.11,29.7,2018
Acuña Jr., Ronald,660670,144,ATL,LF,20,158,49,4.1,29.7,2018
Gerber, Mike,595222,116,DET,LF,25,11,4,,29.6,2018
Adams, Lane,572669,144,ATL,,28,12,4,,29.6,2018
Shuck, JB,543776,146,MIA,RF,31,59,11,3.98,29.5,2018
Swanson, Dansby,621020,144,ATL,SS,24,186,35,4.08,29.5,2018
Negrón, Kristopher,502117,136,SEA,3B,32,14,4,,29.5,2018
Rosario, Amed,642708,121,NYM,SS,22,245,55,4.14,29.5,2018
Brinson, Lewis,621446,146,MIA,CF,24,144,23,4.2,29.4,2018
Kingery, Scott,664068,143,PHI,SS,24,146,20,4.1,29.4,2018
Zimmer, Bradley,605548,114,CLE,CF,25,32,9,4.1,29.4,2018
Margot, Manuel,622534,135,SD,CF,23,200,32,4.19,29.4,2018
Hermosillo, Michael,641684,108,LAA,RF,23,30,3,4.23,29.4,2018
Mullins, Cedric,656775,110,BAL,CF,23,72,18,4.05,29.4,2018
Robles, Victor,645302,120,WSH,CF,21,19,7,,29.3,2018
Davis, Jonathan,641505,141,TOR,CF,26,10,4,,29.3,2018
Marisnick, Jake,545350,117,HOU,CF,27,64,13,4.24,29.3,2018
Fisher, Derek,605233,117,HOU,LF,24,23,6,4.18,29.3,2018
Trout, Mike,545361,108,LAA,CF,26,163,36,4.25,29.3,2018
Hernández, César,514917,143,PHI,2B,28,225,69,4.13,29.2,2018
Reyes, Victor,622682,116,DET,LF,23,104,17,4.2,29.2,2018
Cordero, Franchy,614173,135,SD,LF,23,44,6,4.18,29.2,2018
Davis, Rajai,434658,114,CLE,CF,37,87,20,4.08,29.2,2018
Goodrum, Niko,592348,116,DET,2B,26,167,12,4.19,29.2,2018
Bourjos, Peter,488721,144,ATL,LF,31,18,5,4.15,29.2,2018
Rivera, Yadiel,592680,146,MIA,3B,26,58,1,4.24,29.2,2018
Gardner, Brett,458731,147,NYY,LF,34,236,34,4.02,29.2,2018
Orlando, Paulo,449181,118,KC,CF,32,32,5,4.28,29.2,2018
Fowler, Dustin,641583,133,OAK,CF,23,58,14,4.1,29.2,2018
Jones, JaCoby,592444,116,DET,CF,26,158,14,4.23,29.1,2018
Merrifield, Whit,593160,118,KC,2B,29,231,20,4.22,29.1,2018
Laureano, Ramón,657656,133,OAK,CF,23,66,5,4.1,29.1,2018
Wilkerson, Stevie,592859,110,BAL,2B,26,21,3,,29,2018
Gosselin, Phil,594838,113,CIN,,29,10,1,,29,2018
Jankowski, Travis,608671,135,SD,RF,27,170,27,4.12,29,2018
Newman, Kevin,621028,134,PIT,SS,24,46,,4.25,29,2018
Tilson, Charlie,605508,145,CWS,LF,25,69,3,4.13,29,2018
Altherr, Aaron,571437,143,PHI,RF,27,88,1,4.38,29,2018
Phillips, Brett,621433,118,KC,CF,24,47,1,4.07,29,2018
Taylor, Michael A.,572191,120,WSH,CF,27,149,27,4.14,29,2018
Dyson, Jarrod,502481,109,ARI,CF,33,83,23,4.06,29,2018
Strange-Gordon, Dee,543829,136,SEA,2B,30,281,65,3.96,29,2018
Spangenberg, Cory,605486,135,SD,2B,27,114,19,4.08,29,2018
Gentry, Craig,502226,110,BAL,RF,34,70,5,4.22,29,2018
Dixon, Brandon,641525,113,CIN,1B,26,43,2,4.21,29,2018
Young Jr., Eric,458913,108,LAA,CF,33,50,12,4.26,29,2018
Allen, Greg,656185,114,CLE,CF,25,119,22,4.14,29,2018
Stevenson, Andrew,664057,120,WSH,,24,31,5,4.16,29,2018
Kiermaier, Kevin,595281,139,TB,CF,28,152,11,4.07,29,2018
Duggar, Steven,621453,137,SF,CF,24,57,9,4.15,28.9,2018
García, Avisaíl,541645,145,CWS,RF,27,142,19,4.35,28.9,2018
Tauchman, Mike,643565,115,COL,LF,27,17,1,4.17,28.9,2018
Reinheimer, Jack,595373,121,NYM,SS,25,18,2,,28.9,2018
Báez, Javier,595879,112,CHC,2B,25,255,13,4.19,28.9,2018
Bellinger, Cody,641355,119,LAD,1B,22,216,34,4.02,28.9,2018
Peraza, José,606299,113,CIN,SS,24,251,18,4.19,28.8,2018
Barreto, Franklin,620439,133,OAK,2B,22,18,2,,28.8,2018
Anderson, Tim,641313,145,CWS,SS,25,230,31,4.2,28.8,2018
Meadows, Austin,640457,139,TB,RF,23,63,3,4.17,28.8,2018
Wade, Tyler,642180,147,NYY,2B,23,31,3,4.13,28.8,2018
Luplow, Jordan,656669,134,PIT,LF,24,37,,4.34,28.7,2018
Albies, Ozzie,645277,144,ATL,2B,21,250,22,4.07,28.7,2018
Moncada, Yoán,660162,145,CWS,2B,23,180,20,4.2,28.7,2018
Marte, Ketel,606466,109,ARI,2B,24,263,10,4.22,28.7,2018
Pham, Tommy,502054,139,TB,CF,30,200,5,4.42,28.7,2018
Taylor, Chris,621035,119,LAD,SS,27,194,3,4.23,28.7,2018
McCutchen, Andrew,457705,147,NYY,RF,31,215,13,4.32,28.7,2018
Adduci, James,451192,116,DET,1B,33,79,3,4.15,28.7,2018
Mahtook, Mikie,543484,116,DET,LF,28,85,3,4.27,28.7,2018
Realmuto, J.T.,592663,146,MIA,C,27,186,10,4.27,28.7,2018
Robinson, Shane,453203,147,NYY,RF,33,22,1,4.2,28.7,2018
Lagares, Juan,501571,121,NYM,CF,29,32,2,4.31,28.7,2018
Marte, Starling,516782,134,PIT,CF,29,263,45,4.13,28.6,2018
Dozier, Hunter,641531,118,KC,1B,26,128,,4.34,28.6,2018
Rua, Ryan,607387,140,TEX,LF,28,40,2,4.42,28.6,2018
Garcia, Leury,544725,145,CWS,LF,27,110,9,4.08,28.6,2018
Cain, Lorenzo,456715,158,MIL,CF,32,280,18,4.18,28.6,2018
Hernández, Teoscar,606192,141,TOR,LF,25,162,2,4.28,28.6,2018
Maybin, Cameron,457727,136,SEA,LF,31,153,5,4.24,28.6,2018
Pirela, José,517369,135,SD,2B,28,199,4,4.28,28.6,2018
Cuevas, Noel,571595,115,COL,RF,26,65,7,4.26,28.6,2018
Toles, Andrew,592808,119,LAD,CF,26,14,1,,28.6,2018
Difo, Wilmer,594694,120,WSH,2B,26,160,3,4.26,28.6,2018
Yelich, Christian,592885,158,MIL,RF,26,287,39,4.19,28.6,2018
Dahl, David,621311,115,COL,LF,24,87,5,4.18,28.5,2018
Hernández, Gorkys,491676,137,SF,CF,30,155,5,4.29,28.5,2018
Saladino, Tyler,573135,158,MIL,SS,28,35,,4.36,28.5,2018
Blanco, Grégor,453923,137,SF,LF,34,59,3,4.13,28.5,2018
Herrera, Rosell,594011,118,KC,RF,25,147,2,4.21,28.5,2018
Nimmo, Brandon,607043,121,NYM,RF,25,205,4,4.23,28.5,2018
Hanson, Alen,593700,137,SF,2B,25,131,13,4.19,28.5,2018
Heredia, Guillermo,628338,136,SEA,CF,27,129,,4.25,28.5,2018
Lugo, Dawel,608475,116,DET,2B,23,60,7,4.34,28.5,2018
Adames, Willy,642715,139,TB,SS,22,114,1,4.26,28.5,2018
LaMarre, Ryan,534606,145,CWS,CF,29,64,1,4.19,28.4,2018
Polanco, Jorge,593871,142,MIN,SS,24,110,3,4.19,28.4,2018
Ohtani, Shohei,660271,108,LAA,DH,23,118,1,4.07,28.4,2018
Peterson, Jace,607054,110,BAL,3B,28,88,4,4.23,28.4,2018
Williams, Nick,608384,143,PHI,RF,24,136,1,4.32,28.4,2018
Lindor, Francisco,596019,114,CLE,SS,24,281,3,4.21,28.4,2018
Culberson, Charlie,518586,144,ATL,LF,29,140,1,4.19,28.4,2018
Chapman, Matt,656305,133,OAK,3B,25,213,6,4.36,28.4,2018
Reyes, Pablo,622569,134,PIT,RF,24,27,,4.3,28.4,2018
Wendle, Joey,621563,139,TB,2B,28,224,,4.16,28.4,2018
Rickard, Joey,572073,110,BAL,RF,27,73,1,4.23,28.3,2018
Grichuk, Randal,545341,141,TOR,RF,26,131,,4.35,28.3,2018
Semien, Marcus,543760,133,OAK,SS,27,231,,4.28,28.3,2018
Puig, Yasiel,624577,119,LAD,RF,27,182,4,4.33,28.3,2018
Gamel, Ben,592325,136,SEA,LF,26,118,2,4.2,28.3,2018
Alfaro, Jorge,595751,143,PHI,C,25,108,,4.35,28.3,2018
Owings, Chris,572008,109,ARI,RF,26,107,,4.14,28.3,2018
Soler, Jorge,624585,118,KC,RF,26,91,,4.4,28.3,2018
DeJong, Paul,657557,138,STL,SS,24,127,,4.36,28.3,2018
Szczur, Matt,519333,135,SD,,28,25,,4.24,28.3,2018
Pollock, AJ,572041,109,ARI,CF,30,173,,4.34,28.2,2018
Almonte, Abraham,501659,118,KC,CF,29,54,,4.3,28.2,2018
Powell, Boog,621471,133,OAK,CF,25,12,,,28.2,2018
Ahmed, Nick,605113,109,ARI,SS,28,218,1,4.34,28.2,2018
Santana, Danny,542454,144,ATL,LF,27,10,1,,28.2,2018
Munoz, Yairo,622168,138,STL,SS,23,140,,4.3,28.2,2018
Florimón, Pedro,465753,143,PHI,SS,31,24,1,,28.2,2018
Pence, Hunter,452254,137,SF,LF,35,106,,4.22,28.2,2018
Williamson, Mac,607776,137,SF,LF,27,44,,4.32,28.2,2018
Souza Jr., Steven,519306,109,ARI,RF,29,93,,4.3,28.2,2018
Odor, Rougned,596059,140,TEX,2B,24,169,10,4.14,28.2,2018
Bonifacio, Jorge,593528,118,KC,RF,25,78,,4.33,28.2,2018
Frazier, Jackson,640449,147,NYY,LF,23,16,,,28.2,2018
Altuve, Jose,514888,117,HOU,2B,28,257,52,4.13,28.1,2018
Sanchez, Carlos,570560,145,CWS,3B,26,293,,4.25,28.1,2018
Hicks, Aaron,543305,147,NYY,CF,28,186,7,4.16,28.1,2018
d'Arnaud, Chase,488818,137,SF,2B,31,23,,4.26,28.1,2018
Fletcher, David,664058,108,LAA,2B,24,126,,4.24,28.1,2018
Ward, Taylor,621493,108,LAA,3B,24,40,,4.44,28.1,2018
Myers, Wil,571976,135,SD,3B,27,108,,4.35,28.1,2018
Betts, Mookie,605141,111,BOS,RF,25,216,6,4.18,28.1,2018
Dean, Austin,621573,146,MIA,LF,24,45,,4.27,28.1,2018
Walker, Christian,572233,109,ARI,,27,13,,,28.1,2018
Kiner-Falefa, Isiah,643396,140,TEX,3B,23,178,,4.26,28.1,2018
Desmond, Ian,435622,115,COL,1B,32,302,2,4.36,28.1,2018
Judge, Aaron,592450,147,NYY,RF,26,135,,4.56,28.1,2018
Gurriel Jr., Lourdes,666971,141,TOR,SS,24,92,,4.29,28,2018
Torres, Ramón,593527,118,KC,3B,25,16,,,28,2018
Rodríguez, Ronny,500135,116,DET,SS,26,77,,4.25,28,2018
Rosario, Eddie,592696,142,MIN,LF,26,214,3,4.19,28,2018
Slater, Austin,596103,137,SF,LF,25,90,1,4.37,28,2018
Urías, Luis,649966,135,SD,2B,21,25,,4.29,28,2018
Ervin, Phillip,640447,113,CIN,LF,25,77,3,4.28,28,2018
Pérez, Hernán,541650,158,MIL,2B,27,127,,4.38,28,2018
Duvall, Adam,594807,144,ATL,LF,29,114,1,4.35,28,2018
Iglesias, José,578428,116,DET,SS,28,212,4,4.16,28,2018
Bryant, Kris,592178,112,CHC,3B,26,146,,4.28,28,2018
Torreyes, Ronald,591720,147,NYY,2B,25,44,1,4.15,28,2018
Díaz, Aledmys,649557,141,TOR,SS,27,173,,4.3,28,2018
Jansen, Danny,643376,141,TOR,C,23,32,1,4.29,28,2018
Tomlinson, Kelby,605509,137,SF,2B,28,68,1,4.24,28,2018
Guyer, Brandon,446386,114,CLE,RF,32,76,,4.35,28,2018
Murphy, Tom,608596,115,COL,C,27,26,,4.38,28,2018
Crawford, J.P.,641487,143,PHI,SS,23,47,,4.39,28,2018
Gómez, Carlos,460576,139,TB,RF,32,111,1,4.43,28,2018
Field, Johnny,608654,142,MIN,LF,26,74,1,4.3,28,2018
Gregorius, Didi,544369,147,NYY,SS,28,211,,4.25,28,2018
Bogaerts, Xander,593428,111,BOS,SS,25,247,3,4.23,27.9,2018
Kepler, Max,596146,142,MIN,RF,25,216,3,4.27,27.9,2018
Dickerson, Corey,572816,134,PIT,LF,29,193,,4.21,27.9,2018
Ortega, Rafael,542364,146,MIA,RF,27,49,,4.32,27.9,2018
Andújar, Miguel,609280,147,NYY,3B,23,263,2,4.31,27.9,2018
Segura, Jean,516416,136,SEA,SS,28,290,8,4.21,27.9,2018
Escobar, Eduardo,500871,109,ARI,3B,29,215,1,4.27,27.9,2018
Almora Jr., Albert,546991,112,CHC,CF,24,222,,4.35,27.9,2018
Upton, Justin,457708,108,LAA,LF,30,192,2,4.37,27.9,2018
Pillar, Kevin,607680,141,TOR,CF,29,175,2,4.33,27.9,2018
Thompson, Trayce,572204,145,CWS,RF,27,37,,4.34,27.9,2018
Bregman, Alex,608324,117,HOU,3B,24,267,,4.3,27.9,2018
Inciarte, Ender,542255,144,ATL,CF,27,271,,4.12,27.9,2018
Kozma, Pete,518902,116,DET,SS,30,35,,4.33,27.9,2018
Moroff, Max,621559,134,PIT,2B,25,14,,,27.9,2018
Bauers, Jake,641343,139,TB,1B,22,126,,4.19,27.9,2018
Valera, Breyvic,591971,110,BAL,2B,26,27,,4.21,27.8,2018
Stanton, Giancarlo,519317,147,NYY,DH,28,227,3,4.45,27.8,2018
Wisdom, Patrick,621550,138,STL,3B,26,12,,,27.8,2018
Haniger, Mitch,571745,136,SEA,RF,27,227,,4.38,27.8,2018
Riddle, JT,595375,146,MIA,SS,26,131,,4.37,27.8,2018
Ozuna, Marcell,542303,138,STL,LF,27,230,1,4.42,27.8,2018
Schebler, Scott,594988,113,CIN,RF,27,149,,4.22,27.8,2018
Bote, David,623520,112,CHC,3B,25,89,,4.32,27.8,2018
Bradley Jr., Jackie,598265,111,BOS,CF,28,199,,4.26,27.8,2018
Conforto, Michael,624424,121,NYM,LF,25,199,,4.35,27.8,2018
McNeil, Jeff,643446,121,NYM,2B,26,108,,4.09,27.8,2018
Grossman, Robbie,543257,142,MIN,RF,28,171,1,4.27,27.8,2018
Cave, Jake,595909,142,MIN,CF,25,116,,4.28,27.8,2018
Castellanos, Nick,592206,116,DET,RF,26,219,,4.29,27.8,2018
Polanco, Gregory,570256,134,PIT,RF,26,160,8,4.19,27.8,2018
Miller, Brad,543543,158,MIL,1B,28,79,,4.28,27.8,2018
Duffy, Matt,622110,139,TB,3B,27,258,,4.41,27.8,2018
Correa, Carlos,621043,117,HOU,SS,23,170,1,4.32,27.8,2018
Span, Denard,452655,136,SEA,LF,34,185,,4.34,27.7,2018
Reddick, Josh,502210,117,HOU,RF,31,156,,4.24,27.7,2018
Williams, Mason,592863,113,CIN,RF,26,54,,4.23,27.7,2018
Lin, Tzu-Wei,624407,111,BOS,SS,24,29,1,4.22,27.7,2018
Machado, Dixon,553988,116,DET,2B,26,93,,4.42,27.7,2018
Rondón, José,602922,145,CWS,3B,24,40,,4.38,27.7,2018
Springer, George,543807,117,HOU,CF,28,260,4,4.31,27.7,2018
Robertson, Daniel,621002,139,TB,2B,24,131,,4.44,27.7,2018
Tocci, Carlos,624636,140,TEX,CF,22,52,,4.37,27.7,2018
Wong, Kolten,543939,138,STL,2B,27,158,1,4.16,27.7,2018
Happ, Ian,664023,112,CHC,CF,23,124,,4.31,27.7,2018
Gallo, Joey,608336,140,TEX,LF,24,96,,4.42,27.7,2018
Herrera, Dilson,599096,113,CIN,2B,24,19,,,27.7,2018
Villar, Jonathan,542340,110,BAL,2B,27,195,,4.21,27.7,2018
Hernández, Enrique,571771,119,LAD,CF,26,159,,4.35,27.7,2018
Benintendi, Andrew,643217,111,BOS,LF,23,255,1,4.23,27.7,2018
Contreras, Willson,575929,112,CHC,C,26,235,,4.32,27.6,2018
Blackmon, Charlie,453568,115,COL,CF,31,256,4,4.27,27.6,2018
Smolinski, Jake,519295,133,OAK,CF,29,17,,4.38,27.6,2018
Muncy, Max,571970,119,LAD,1B,27,129,,4.29,27.6,2018
Refsnyder, Rob,608701,139,TB,LF,27,31,,4.33,27.6,2018
Valaika, Pat,642162,115,COL,2B,25,41,,4.36,27.6,2018
Gurriel, Yuli,493329,117,HOU,1B,34,260,1,4.32,27.6,2018
Mercer, Jordy,474568,134,PIT,SS,31,143,,4.35,27.6,2018
Canha, Mark,592192,133,OAK,CF,29,152,,4.34,27.6,2018
Heyward, Jason,518792,112,CHC,RF,28,213,,4.33,27.6,2018
Profar, Jurickson,595777,140,TEX,SS,25,246,,4.32,27.6,2018
Russell, Addison,608365,112,CHC,SS,24,171,1,4.25,27.6,2018
Stewart, DJ,621466,110,BAL,LF,24,15,,,27.6,2018
Díaz, Yandy,650490,114,CLE,DH,26,53,,4.44,27.6,2018
Harper, Bryce,547180,120,WSH,RF,25,188,2,4.34,27.6,2018
Goodwin, Brian,571718,118,KC,CF,27,50,,4.19,27.6,2018
Escobar, Alcides,444876,118,KC,SS,31,222,,4.33,27.6,2018
Cooper, Garrett,643265,146,MIA,1B,27,14,,,27.5,2018
Kemp, Tony,643393,117,HOU,LF,26,122,,4.16,27.5,2018
