last_name, first_name,player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed,year
Robles, Victor,645302,120,WSH,RF,20,13,12,,30.9,2017
Buxton, Byron,621439,142,MIN,CF,23,128,113,3.95,30.6,2017
Sierra, Magneuris,642423,138,STL,RF,21,27,15,3.91,30.6,2017
Engel, Adam,641553,145,CWS,CF,25,104,68,4.05,30.5,2017
Turner, Trea,607208,120,WSH,SS,24,174,98,4.09,30.4,2017
Hamilton, Billy,571740,113,CIN,CF,26,238,114,3.9,30.2,2017
Rosario, Amed,642708,121,NYM,SS,21,65,26,4.04,30.1,2017
Smith, Mallex,605480,139,TB,CF,24,116,62,4.01,30.1,2017
DeShields, Delino,592261,140,TEX,LF,24,132,83,3.97,30.1,2017
Bader, Harrison,664056,138,STL,CF,23,28,16,4.08,30.1,2017
Zimmer, Bradley,605548,114,CLE,CF,24,107,58,4.07,30,2017
Adams, Lane,572669,144,ATL,,27,37,19,4.15,30,2017
Bourjos, Peter,488721,139,TB,LF,30,81,33,4.06,30,2017
Broxton, Keon,542979,158,MIL,CF,27,123,43,4.06,29.9,2017
Cordero, Franchy,614173,135,SD,CF,22,31,11,4.03,29.9,2017
Davis, Rajai,434658,111,BOS,CF,36,151,43,4.03,29.7,2017
Negrón, Kristopher,502117,109,ARI,SS,31,12,3,,29.5,2017
Hernández, César,514917,143,PHI,2B,27,251,80,4.14,29.4,2017
Margot, Manuel,622534,135,SD,CF,22,185,41,4.17,29.4,2017
Barreto, Franklin,620439,133,OAK,SS,21,14,2,,29.4,2017
Gentry, Craig,502226,110,BAL,RF,33,49,11,4.2,29.4,2017
Strange-Gordon, Dee,543829,146,MIA,2B,29,349,122,3.89,29.4,2017
Tapia, Raimel,606132,115,COL,RF,23,72,18,4.05,29.4,2017
Calixte, Orlando,593525,137,SF,LF,25,14,3,4.21,29.4,2017
Trout, Mike,545361,108,LAA,CF,25,154,22,4.25,29.4,2017
Story, Trevor,596115,115,COL,SS,24,141,47,4.18,29.3,2017
Fisher, Derek,605233,117,HOU,LF,23,58,23,4.07,29.3,2017
Córdoba, Allen,642707,135,SD,LF,21,81,15,4.17,29.3,2017
Kiermaier, Kevin,595281,139,TB,CF,27,157,27,4.01,29.3,2017
Mondesi, Adalberto,609275,118,KC,2B,21,11,7,,29.3,2017
Hoying, Jared,592419,140,TEX,CF,28,28,6,4.12,29.3,2017
Hanson, Alen,593700,145,CWS,2B,24,101,22,4,29.3,2017
Marte, Ketel,606466,109,ARI,SS,23,106,13,4.13,29.2,2017
Merrifield, Whit,593160,118,KC,2B,28,213,14,4.22,29.2,2017
Marisnick, Jake,545350,117,HOU,CF,26,64,9,4.24,29.2,2017
Stevenson, Andrew,664057,120,WSH,RF,23,25,7,4.11,29.2,2017
Brinson, Lewis,621446,158,MIL,CF,23,18,4,4.24,29.2,2017
Difo, Wilmer,594694,120,WSH,SS,25,159,17,4.18,29.1,2017
Wade, Tyler,642180,147,NYY,2B,22,24,1,4.08,29.1,2017
García, Avisaíl,541645,145,CWS,RF,26,249,27,4.28,29.1,2017
Alcántara, Arismendy,570489,113,CIN,,25,44,9,4.11,29.1,2017
Robinson, Shane,453203,108,LAA,RF,32,15,1,4.17,29.1,2017
Williams, Nick,608384,143,PHI,RF,23,128,12,4.19,29.1,2017
Hernández, Gorkys,491676,137,SF,CF,29,137,13,4.22,29.1,2017
Pirela, José,517369,135,SD,LF,27,153,8,4.23,29.1,2017
Jones, JaCoby,592444,116,DET,CF,25,52,5,4.26,29,2017
Rutledge, Josh,592710,111,BOS,3B,28,52,4,4.22,29,2017
Taylor, Chris,621035,119,LAD,CF,26,228,15,4.18,29,2017
Phillips, Brett,621433,158,MIL,CF,23,29,2,3.93,29,2017
Souza Jr., Steven,519306,139,TB,RF,28,179,11,4.26,29,2017
Blanco, Grégor,453923,109,ARI,CF,33,93,10,4.1,28.9,2017
Hays, Austin,669720,110,BAL,RF,21,31,,4.23,28.9,2017
Moncada, Yoán,660162,145,CWS,2B,22,71,9,4.22,28.9,2017
Altherr, Aaron,571437,143,PHI,LF,26,158,1,4.4,28.9,2017
Fuentes, Rey,571681,109,ARI,CF,26,51,3,4.1,28.9,2017
Granite, Zack,643335,142,MIN,CF,24,52,11,4.08,28.9,2017
Bryant, Kris,592178,112,CHC,3B,25,225,2,4.14,28.9,2017
Happ, Ian,664023,112,CHC,CF,22,127,3,4.19,28.9,2017
Mahtook, Mikie,543484,116,DET,CF,27,157,10,4.2,28.9,2017
Marte, Starling,516782,134,PIT,LF,28,133,26,4.12,28.9,2017
Bonifácio, Emilio,466988,144,ATL,,32,12,5,,28.9,2017
Peraza, José,606299,113,CIN,2B,23,215,20,4.16,28.9,2017
Bellinger, Cody,641355,119,LAD,1B,21,164,13,4.08,28.9,2017
McCutchen, Andrew,457705,134,PIT,CF,30,209,19,4.3,28.9,2017
Taylor, Michael A.,572191,120,WSH,CF,26,133,14,4.12,28.9,2017
Adduci, James,451192,116,DET,RF,32,27,1,4.12,28.9,2017
Young Jr., Eric,458913,108,LAA,LF,32,49,12,4.16,28.8,2017
May, Jacob,594576,145,CWS,CF,25,16,1,,28.8,2017
Frazier, Jackson,640449,147,NYY,LF,22,53,,4.19,28.8,2017
Gardner, Brett,458731,147,NYY,LF,33,263,34,4.04,28.8,2017
Anderson, Tim,641313,145,CWS,SS,24,230,23,4.23,28.8,2017
Bautista, Rafael,622441,120,WSH,RF,24,11,7,,28.8,2017
Hazelbaker, Jeremy,571757,109,ARI,,29,23,1,,28.7,2017
Maybin, Cameron,457727,117,HOU,CF,30,184,4,4.23,28.7,2017
Swanson, Dansby,621020,144,ATL,SS,23,200,5,4.19,28.7,2017
Albies, Ozzie,645277,144,ATL,2B,20,79,10,4.16,28.7,2017
Heredia, Guillermo,628338,136,SEA,LF,26,173,2,4.19,28.7,2017
Ervin, Phillip,640447,113,CIN,CF,24,22,4,4.24,28.7,2017
Cain, Lorenzo,456715,118,KC,CF,31,240,37,4.25,28.7,2017
Chapman, Matt,656305,133,OAK,3B,24,99,1,4.34,28.7,2017
Spangenberg, Cory,605486,135,SD,3B,26,177,17,4.14,28.7,2017
Pham, Tommy,502054,138,STL,LF,29,210,11,4.4,28.7,2017
Hernández, Teoscar,606192,141,TOR,LF,24,21,1,4.24,28.7,2017
Allen, Greg,656185,114,CLE,CF,24,16,5,,28.7,2017
Nimmo, Brandon,607043,121,NYM,LF,24,64,4,4.23,28.6,2017
Pollock, AJ,572041,109,ARI,CF,29,219,,4.26,28.6,2017
Peterson, Jace,607054,144,ATL,LF,27,83,8,4.16,28.6,2017
Lagares, Juan,501571,121,NYM,CF,28,120,2,4.27,28.6,2017
Realmuto, J.T.,592663,146,MIA,C,26,230,5,4.22,28.6,2017
Culberson, Charlie,518586,119,LAD,SS,28,12,,,28.6,2017
Toles, Andrew,592808,119,LAD,LF,25,44,2,4.12,28.6,2017
d'Arnaud, Chase,488818,135,SD,SS,30,26,,4.07,28.6,2017
Urena, Richard,620446,141,TOR,SS,21,22,,,28.6,2017
Ngoepe, Gift,547912,134,PIT,2B,27,22,,4.28,28.6,2017
Eaton, Adam,594809,120,WSH,CF,28,48,2,4.06,28.6,2017
Garcia, Leury,544725,145,CWS,CF,26,140,5,4.1,28.6,2017
Pence, Hunter,452254,137,SF,RF,34,246,,4.16,28.6,2017
Díaz, Aledmys,649557,138,STL,SS,26,130,,4.2,28.6,2017
Myers, Wil,571976,135,SD,1B,26,183,5,4.27,28.6,2017
Slater, Austin,596103,137,SF,LF,24,55,,4.33,28.5,2017
Báez, Javier,595879,112,CHC,SS,24,178,5,4.24,28.5,2017
Gosselin, Phil,594838,140,TEX,2B,28,21,3,4.22,28.5,2017
Almonte, Abraham,501659,114,CLE,RF,28,87,,4.26,28.5,2017
Kelly, Ty,571841,143,PHI,,28,35,,4.18,28.5,2017
Semien, Marcus,543760,133,OAK,SS,26,118,3,4.27,28.5,2017
Lin, Tzu-Wei,624407,111,BOS,SS,23,23,1,4.12,28.5,2017
Polanco, Jorge,593871,142,MIN,SS,23,203,13,4.15,28.5,2017
Grichuk, Randal,545341,138,STL,RF,25,133,,4.33,28.5,2017
Sanchez, Carlos,570560,145,CWS,2B,25,226,,4.19,28.5,2017
Hicks, Aaron,543305,147,NYY,CF,27,138,3,4.16,28.5,2017
Bonifacio, Jorge,593528,118,KC,RF,24,122,3,4.28,28.5,2017
DeJong, Paul,657557,138,STL,SS,23,126,,4.31,28.4,2017
Rickard, Joey,572073,110,BAL,RF,26,100,,4.18,28.4,2017
Altuve, Jose,514888,117,HOU,2B,27,310,59,4.13,28.4,2017
Tauchman, Mike,643565,115,COL,,26,10,,,28.4,2017
Szczur, Matt,519333,135,SD,CF,27,83,,4.17,28.4,2017
Bostick, Christopher,607471,134,PIT,,24,14,,,28.4,2017
Torres, Ramón,593527,118,KC,2B,24,33,,4.19,28.4,2017
Gamel, Ben,592325,136,SEA,LF,25,219,7,4.18,28.4,2017
Freeman, Mike,502273,112,CHC,SS,29,28,,4.27,28.4,2017
Orlando, Paulo,449181,118,KC,RF,31,35,6,4.3,28.4,2017
Owings, Chris,572008,109,ARI,SS,25,156,2,4.14,28.4,2017
Hwang, Jae-Gyun,666561,137,SF,3B,29,20,,4.32,28.4,2017
Pérez, Hernán,541650,158,MIL,LF,26,191,2,4.21,28.4,2017
Presley, Alex,502100,116,DET,RF,31,107,1,4.16,28.3,2017
Benintendi, Andrew,643217,111,BOS,LF,22,232,3,4.21,28.3,2017
Bogaerts, Xander,593428,111,BOS,SS,24,282,,4.21,28.3,2017
Liriano, Rymer,542642,145,CWS,LF,26,18,,4.35,28.3,2017
Torreyes, Ronald,591720,147,NYY,2B,24,163,1,4.21,28.3,2017
Yelich, Christian,592885,146,MIA,CF,25,278,31,4.24,28.3,2017
Rosales, Adam,489267,109,ARI,SS,34,80,,4.34,28.3,2017
Kivlehan, Patrick,623182,113,CIN,RF,27,64,,4.34,28.3,2017
Schebler, Scott,594988,113,CIN,RF,26,181,1,4.24,28.3,2017
Upton, Justin,457708,108,LAA,LF,29,188,6,4.35,28.3,2017
Hernández, Marco,593523,111,BOS,3B,24,26,1,4.03,28.3,2017
Blackmon, Charlie,453568,115,COL,CF,30,260,9,4.22,28.2,2017
Russell, Addison,608365,112,CHC,SS,23,145,,4.21,28.2,2017
Thompson, Trayce,572204,119,LAD,CF,26,15,,,28.2,2017
Gregorius, Didi,544369,147,NYY,SS,27,207,1,4.26,28.2,2017
Florimón, Pedro,465753,143,PHI,CF,30,21,1,,28.2,2017
Ahmed, Nick,605113,109,ARI,SS,27,71,2,4.35,28.2,2017
Featherston, Taylor,605227,139,TB,2B,27,12,,,28.2,2017
Dyson, Jarrod,502481,136,SEA,CF,32,149,30,4.1,28.2,2017
Luplow, Jordan,656669,134,PIT,RF,23,25,,4.37,28.2,2017
Saladino, Tyler,573135,145,CWS,2B,27,113,,4.41,28.1,2017
Peterson, Shane,451089,139,TB,LF,29,29,,4.2,28.1,2017
Fowler, Dexter,451594,138,STL,CF,31,158,2,4.26,28.1,2017
Tomlinson, Kelby,605509,137,SF,2B,27,82,4,4.18,28.1,2017
Puig, Yasiel,624577,119,LAD,RF,26,239,6,4.29,28.1,2017
González, Erik,570481,114,CLE,2B,25,50,,4.24,28.1,2017
Carrera, Ezequiel,485567,141,TOR,LF,30,122,1,4.16,28.1,2017
Powell, Boog,621471,133,OAK,CF,24,50,,4.21,28.1,2017
Moroff, Max,621559,134,PIT,2B,24,46,1,4.17,28.1,2017
Odor, Rougned,596059,140,TEX,2B,23,188,5,4.17,28.1,2017
Castellanos, Nick,592206,116,DET,3B,25,228,,4.27,28.1,2017
Beckham, Tim,542921,110,BAL,SS,27,198,,4.37,28.1,2017
Alfaro, Jorge,595751,143,PHI,C,24,45,,4.35,28.1,2017
Hechavarria, Adeiny,588751,139,TB,SS,28,115,1,4.33,28.1,2017
Ellsbury, Jacoby,453056,147,NYY,CF,33,154,4,4.27,28,2017
Riddle, JT,595375,146,MIA,SS,25,103,,4.33,28.1,2017
Springer, George,543807,117,HOU,CF,27,261,4,4.3,28,2017
Gómez, Carlos,460576,140,TEX,CF,31,103,4,4.39,28,2017
Kepler, Max,596146,142,MIN,RF,24,200,3,4.23,28,2017
Judge, Aaron,592450,147,NYY,RF,25,182,,4.5,28,2017
Lindor, Francisco,596019,114,CLE,SS,23,265,1,4.23,28,2017
Haniger, Mitch,571745,136,SEA,RF,26,144,,4.34,28,2017
Schimpf, Ryan,572114,135,SD,3B,29,29,,4.21,28,2017
Ramírez, José,608070,114,CLE,3B,24,266,,4.28,28,2017
Devers, Rafael,646240,111,BOS,3B,20,106,,4.27,27.9,2017
Williamson, Mac,607776,137,SF,RF,26,28,,4.4,27.9,2017
Betts, Mookie,605141,111,BOS,RF,24,287,6,4.21,27.9,2017
Santana, Danny,542454,144,ATL,LF,26,73,5,4.23,27.9,2017
Rua, Ryan,607387,140,TEX,1B,27,35,1,4.54,27.9,2017
Coleman, Dusty,543038,135,SD,SS,30,14,,,27.9,2017
Grossman, Robbie,543257,142,MIN,DH,27,161,,4.27,27.9,2017
García, Willy,591994,145,CWS,RF,24,49,,4.47,27.9,2017
Contreras, Willson,575929,112,CHC,C,25,185,1,4.28,27.9,2017
Robertson, Daniel,543706,114,CLE,RF,31,63,,4.24,27.9,2017
Villar, Jonathan,542340,158,MIL,2B,26,166,,4.16,27.9,2017
Guyer, Brandon,446386,114,CLE,RF,31,63,,4.31,27.9,2017
Gallo, Joey,608336,140,TEX,3B,23,96,1,4.42,27.9,2017
Duvall, Adam,594807,113,CIN,LF,28,179,,4.37,27.9,2017
Fryer, Eric,518700,138,STL,C,31,34,,4.31,27.9,2017
Jankowski, Travis,608671,135,SD,LF,26,29,2,,27.8,2017
Núñez, Eduardo,456488,111,BOS,3B,30,245,31,4.17,27.8,2017
Iglesias, José,578428,116,DET,SS,27,240,1,4.16,27.8,2017
Jackson, Austin,457706,114,CLE,CF,30,129,,4.47,27.8,2017
Goodwin, Brian,571718,120,WSH,CF,26,95,,4.15,27.8,2017
Ozuna, Marcell,542303,146,MIA,LF,26,253,2,4.39,27.8,2017
Aviles, Mike,449107,146,MIA,SS,36,39,,4.35,27.8,2017
Pillar, Kevin,607680,141,TOR,CF,28,220,1,4.38,27.8,2017
Puello, César,527049,139,TB,LF,26,21,,4.4,27.8,2017
Canha, Mark,592192,133,OAK,CF,28,51,,4.32,27.8,2017
Stanton, Giancarlo,519317,146,MIA,RF,27,197,,4.5,27.8,2017
Crawford, J.P.,641487,143,PHI,3B,22,24,1,4.36,27.8,2017
Parker, Jarrett,592620,137,SF,LF,28,72,,4.28,27.8,2017
Machado, Dixon,553988,116,DET,SS,25,84,,4.4,27.7,2017
Reddick, Josh,502210,117,HOU,RF,30,204,,4.2,27.7,2017
Harper, Bryce,547180,120,WSH,RF,24,168,,4.27,27.7,2017
Almora Jr., Albert,546991,112,CHC,CF,23,157,,4.38,27.7,2017
Cecchini, Gavin,608325,121,NYM,2B,23,27,,4.37,27.7,2017
Miller, Brad,543543,139,TB,2B,27,126,,4.29,27.7,2017
Marte, Jefry,527043,108,LAA,1B,26,52,,4.45,27.7,2017
Valaika, Pat,642162,115,COL,,24,50,,4.3,27.7,2017
Heisey, Chris,502317,120,WSH,LF,32,27,,4.37,27.7,2017
